id;id_ticket;id_user;created;closed;close_by_user_id;product_id;userid_id
1;74562;34742;2020-09-29T06:51:34;2020-09-29T19:21:12;840;42945;2
2;85695;68523;2020-09-29T17:32:17;2020-09-29T19:12:33;70639;87155;1
3;8656;12415;2020-09-29T13:08:32;2020-09-29T01:46:51;41034;76145;2
4;43;97460;2020-09-29T11:03:11;2020-09-29T03:57:38;7943;95176;2
5;70362;21476;2020-09-29T22:39:53;2020-09-29T05:18:31;63587;48733;2
6;83757;67942;2020-09-29T10:36:05;2020-09-29T23:55:32;27325;36297;1
7;40900;57707;2020-09-29T21:39:45;2020-09-29T19:06:43;26359;63177;2
8;97299;40979;2020-09-30T00:23:38;2020-09-29T21:01:26;72918;33367;1
9;30246;36169;2020-09-29T02:48:51;2020-09-29T06:50:10;10746;92734;1
10;42769;62949;2020-09-29T20:44:25;2020-09-30T00:21:32;57016;90;1
